TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
SANISETTES;Fermé;face 32 BOULEVARD EDGAR QUINET;14;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.326831211101864, 48.84047147744345]]}";48.8404714774,2.3268312111
SANISETTES;Fermé;364 RUE LECOURBE;15;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.281691816923769, 48.836240943583995]]}";48.8362409436,2.28169181692
SANISETTES;Fermé;64 AVENUE DE LA GRANDE ARMEE;17;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.285950309757017, 48.87692989046236]]}";48.8769298905,2.28595030976
SANISETTES;Fermé;29 RUE ERNESTINE;18;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.354609715503173, 48.89045444451696]]}";48.8904544445,2.3546097155
SANISETTES;Fermé;face 90 BOULEVARD DE LA CHAPELLE;18;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.353429267194319, 48.884078653316436]]}";48.8840786533,2.35342926719
SANISETTES;Fermé;177 AVENUE DE FLANDRE;19;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.382026907945858, 48.89474105377586]]}";48.8947410538,2.38202690795
SANISETTES;Fermé;3 RUE BOTZARIS;19;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.381250830015357, 48.877863914358414]]}";48.8778639144,2.38125083002
SANISETTES;Fermé;101 RUE ALEXANDRE DUMAS;20;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.400081520777228, 48.855403987768895]]}";48.8554039878,2.40008152078
SANISETTES;Fermé;1 RUE DE BUZENVAL;20;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.402583928887361, 48.84910044336136]]}";48.8491004434,2.40258392889
TOILETTES;;SQUARE DE L'AVENUE BOUTROUX;75013;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-clara-zetkin-ex-square-boutroux-2517;"{""type"": ""MultiPoint"", ""coordinates"": [[2.375899565672565, 48.82166499053291]]}";48.8216649905,2.37589956567
TOILETTES;;SQUARE SAINT-ELOI;75012;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-saint-eloi-2597;"{""type"": ""MultiPoint"", ""coordinates"": [[2.387662295775836, 48.84457582856606]]}";48.8445758286,2.38766229578
TOILETTES;;PARC MONTSOURIS;75014;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-et-aire-de-jeux-de-la-zac-alesia-montsouris-2867;"{""type"": ""MultiPoint"", ""coordinates"": [[2.339848934049351, 48.82416257802962]]}";48.824162578,2.33984893405
